"act","prompt"
"Gerador de Post","Escreva-me a descrição ou legenda do post do Instagram em apenas algumas frases para o post [🚨 Adicione sua palavra-chave 🚨].
Formate cada nova frase com novas linhas para que o texto fique mais legível.
Inclua emojis e as melhores hashtags do Instagram para essa postagem.
A primeira frase da legenda deve fisgar os leitores e despertar sua curiosidade."
"Gerador de Hashtags","Crie hashtags para [🚨 Adicione sua palavra-chave 🚨] que são frequentemente usadas em plataformas de mídia social em português."
"Estrutura HESEC","Gere uma estrutura de conteúdo de mídia social com
Estrutura HESEC (Humanize, Educate, Solve, Entertain, Convert) para:
Nome da marca: [🚨 Adicione o nome da sua marca 🚨]
Nicho: [🚨 Descreva seu nicho e produtos/serviços 🚨]"
"Estrutura HERO","Gere uma estrutura de conteúdo de mídia social com Estrutura HERO (Human, Emotional, Remarkable, Offer) para:
Nome da marca: [🚨 Adicione o nome da sua marca 🚨]
Nicho: [🚨 Descreva seu nicho e produtos/serviços 🚨]"
"Estrutura PEACE","Gere uma estrutura de conteúdo de mídia social com
PEACE (Plan, Engage, Amplify, Convert, Evaluate) para:
Nome da marca: [🚨 Adicione o nome da sua marca 🚨]
Nicho: [🚨 Descreva seu nicho e produtos/serviços 🚨]"
"Post para Blogs","Você é um escritor de conteúdo experiente em SEO que está a escrever um artigo optimizado de SEO para um cliente. Este cliente está à procura de um artigo de alta qualidade, optimizado em SEO, sobre [🚨 Tema da postagem 🚨] que pode ajudar o seu site a melhorar a sua classificação nos motores de busca. Certifique-se de que o artigo é 100% único e escrito em linguagem natural e clara. Utilizar subtítulos e títulos relevantes e ricos em palavras-chave, e certificar-se de que o artigo tem uma estrutura lógica e coerente. Fornece títulos H1, H2, H3 em formato markdown. O seu artigo deve incluir informação relevante e atualizada que os leitores considerem valiosa e útil. Não se esqueça de incorporar as palavras-chave relevantes de uma forma natural, sem sobrecarregar o artigo. No final do artigo, certifique-se de fornecer um resumo conciso e relevante do tópico abordado."
"Análise empresarial","Fornecer uma análise do modelo de negócio da [🚨 Nome da empresa 🚨] utilizando o modelo de negócio de Alexander Osterwalder; uma tabela representando as Cinco Forças de Michael Porter na Cadeia de Valor e uma análise SWOT para a empresa. Além disso, apresentar algumas estatísticas específicas da indústria para essa empresa, tais como estatísticas financeiras, uma estimativa dos custos de arranque e tendências emergentes desde 2000."
"E-mail Marketing - Aviso de atraso na entrega","Escrever um e-mail informando um cliente sobre um atraso no envio da sua compra. Incluir detalhes sobre a causa do atraso e a nova data de entrega estimada. Certifique-se de incluir uma chamada clara à ação para que o cliente saiba como pode obter mais informações ou resolver quaisquer questões relacionadas com o atraso. Incluir espaços em branco para personalização no e-mail."
"Gerador de Receitas","Escreva um artigo de receita usando as sete etapas listadas abaixo para o nome da receita mencionado abaixo. Os sete passos são:
1. Introdução (escreva 200 palavras)
2. Ingredientes (escreva claramente)
3. Instruções (escreva detalhadamente)
4. Como preparar (escrever detalhado)
5. Tempo de preparação (escrever detalhado)
6. FAQs (pesquise e escreva pelo menos 5 perguntas e respostas)
7. Conclusão (escreva 200 palavras)
O comprimento da frase deve ser curto com palavras de transição suficientes. Escreva em português [🚨 NOME DA RECEITA 🚨]. Escreva o título do artigo da receita, deve ser atraente. E escreva uma meta descrição em 156 caracteres."
"Gerador de Jogos","Você é um criador de jogos especializado. Você sabe como criar jogos divertidos e envolventes que as crianças vão adorar jogar. Quero que você tenha 5 ideias de jogos que crianças e adultos possam jogar juntos. Considere jogos competitivos, jogos colaborativos, jogos de imaginação e jogos baseados em habilidade. Por favor, crie 2 novas ideias de jogos que não existiam antes, incluindo uma descrição de como jogá-los e uma explicação do que os torna divertidos. Inclua o nome do jogo em cada um dos títulos dos jogos.Em seguida, pergunte se eles desejam uma explicação sobre alguma das sugestões ou se desejam mais ideias. Se eles responderem sim, execute este prompt novamente. Se eles pedirem uma explicação sobre qualquer uma das ideias, escreva as instruções do jogo, os papéis dos jogadores e como saber quando o jogo acabou."
"Trivia Quiz","Quero que você aja como um especialista em [🚨 Geográfia 🚨], que fala e escreve fluentemente o português. Por favor, escreva 5 perguntas para um Trivia Quiz relacionado ao seguinte tópico e nível de dificuldade: [🚨 Geográfia, nível moderado 🚨].
Na parte inferior, forneça respostas às perguntas em uma lista separada."
"Gerador de Carrossel","Escreva-me um exemplo de ideia de tópico de carrossel do Instagram.
Escreva-me também slide por slide com títulos, o conteúdo exato explicado e exemplos que devo usar. Além disso, forneça imagens para cada slide que expliquem todos os títulos de [🚨 Adicione sua palavra-chave 🚨] Não inclua instruções de conteúdo, em vez disso, escreva apenas um texto acionável que eu possa copiar e colar. Depois de escrever os slides do carrossel, adicione um separador no final. Agora escreva-me a descrição/legenda do post do Instagram em apenas algumas frases. Formate cada nova frase com novas linhas para que o texto fique mais legível. Inclua emojis e as melhores hashtags do Instagram para essa postagem. A primeira frase da legenda deve fisgar os leitores despertar sua curiosidade."
